Inventory,Potions,Recipe,Orders(Apothecary),Orders(Brewery)
Calcifer's Fallen Ember 10,Potion of Hearth's Homecoming
Witch-of-the-Waste's Perfume Vapor 10,Elixir of the Unnoticed Journey
Moving Castle's Rust Flake 10,Draught of Revealed Hearts
Tear of a Freed Scarecrow 10,Vapour of Shifting Facades
Seven-League Boot Leather Scrap 10,
Royal Dog Whisker 10,
Pendant's Crystallized Starlight 10,
Royal Intrigue Berry 10,
Steam-Pipe Condensate 10,
Mimic's Molted Feather 10,
Turnip-Head's Nail 10,
Royal Dog Loyalty Tear 10,
Door-Knob's Whisper 10,
Sulliman's Faded Sigil 10,
Cursed Contract Ink 10,
